Data;Time;RCE
20200124;21;216.37
20200124;22;184.81
20200124;23;183.36
20200124;24;174.50
20200125;1;160.25
20200125;2;154.93
20200125;3;149.59
20200125;4;145.64
20200125;5;149.69
20200125;6;152.15
20200125;7;160.88
20200125;8;177.43
20200125;9;199.04
20200125;10;216.37
20200125;11;216.21
20200125;12;222.67
20200125;13;217.52
20200125;14;217.61
20200125;15;216.33
20200125;16;219.97
20200125;17;224.40
20200125;18;225.49
20200125;19;222.83
20200125;20;220.30
20200125;21;222.07
20200125;22;186.23
20200125;23;168.27
20200125;24;160.26
20200126;1;155.65
20200126;2;155.50
20200126;3;151.22
20200126;4;142.23
20200126;5;144.70
20200126;6;146.69
20200126;7;143.99
20200126;8;148.34
20200126;9;151.64
20200126;10;165.18
20200126;11;176.18
20200126;12;184.92
20200126;13;185.83
20200126;14;185.80
20200126;15;181.95
20200126;16;175.71
20200126;17;200.76
20200126;18;218.71
20200126;19;217.18
20200126;20;217.82
20200126;21;215.73
20200126;22;184.51
20200126;23;164.86
20200126;24;146.87
20200127;1;171.67
20200127;2;159.92
20200127;3;154.90
20200127;4;154.98
20200127;5;153.94
20200127;6;177.03
20200127;7;245.95
20200127;8;246.17
20200127;9;252.50
20200127;10;255.87
20200127;11;256.57
20200127;12;264.69
20200127;13;261.93
20200127;14;260.17
20200127;15;249.60
20200127;16;248.05
20200127;17;252.20
20200127;18;260.72
20200127;19;251.70
20200127;20;248.75
20200127;21;238.67
20200127;22;206.27
20200127;23;219.83
20200127;24;192.30
20200128;1;167.87
20200128;2;160.31
20200128;3;158.73
20200128;4;158.74
20200128;5;160.27
20200128;6;164.34
20200128;7;224.82
20200128;8;232.98
20200128;9;233.85
20200128;10;235.21
20200128;11;233.97
20200128;12;233.78
20200128;13;236.79
20200128;14;242.69
20200128;15;236.23
20200128;16;229.47
20200128;17;237.45
20200128;18;241.94
20200128;19;231.11
20200128;20;225.11
20200128;21;199.89
20200128;22;179.11
20200128;23;205.20
20200128;24;161.27
20200129;1;152.26
20200129;2;141.82
20200129;3;135.86
20200129;4;135.42
20200129;5;145.11
20200129;6;156.45
20200129;7;218.49
20200129;8;202.33
20200129;9;215.19
20200129;10;218.00
20200129;11;214.50
20200129;12;213.27
20200129;13;212.65
20200129;14;213.45
20200129;15;209.49
20200129;16;210.13
20200129;17;231.29
20200129;18;236.34
20200129;19;235.09
20200129;20;228.99
20200129;21;197.24
20200129;22;180.95
20200129;23;201.01
20200129;24;162.32
20200130;1;159.48
20200130;2;144.10
20200130;3;133.20
20200130;4;135.46
20200130;5;148.06
20200130;6;158.97
20200130;7;218.26
20200130;8;200.32
20200130;9;221.36
20200130;10;237.24
20200130;11;230.45
20200130;12;232.85
20200130;13;230.52
20200130;14;236.21
20200130;15;228.47
20200130;16;228.40
20200130;17;238.85
20200130;18;248.74
20200130;19;238.29
20200130;20;238.76
20200130;21;213.38
20200130;22;192.24
20200130;23;215.90
20200130;24;167.02
20200131;1;160.56
20200131;2;155.03
20200131;3;142.88
20200131;4;141.75
20200131;5;145.26
20200131;6;157.75
20200131;7;211.68
20200131;8;188.96
20200131;9;201.94
20200131;10;201.02
20200131;11;203.96
20200131;12;206.91
20200131;13;204.23
20200131;14;198.64
20200131;15;200.55
20200131;16;201.10
20200131;17;213.08
20200131;18;234.59
20200131;19;226.32
20200131;20;222.31
20200131;21;203.87
20200131;22;174.87
20200131;23;215.30
20200131;24;164.94
20201001;1;202.28
20201001;2;202.36
20201001;3;202.39
20201001;4;202.36
20201001;5;201.79
20201001;6;204.43
20201001;7;239.23
20201001;8;249.77
20201001;9;269.72
20201001;10;291.61
20201001;11;291.69
20201001;12;306.42
20201001;13;308.12
20201001;14;311.56
20201001;15;308.74
20201001;16;309.46
20201001;17;309.16
20201001;18;297.24
20201001;19;285.88
20201001;20;324.67
20201001;21;294.05
20201001;22;234.32
20201001;23;244.65
20201001;24;211.93
20201002;1;230.73
20201002;2;231.69
20201002;3;223.49
20201002;4;221.78
20201002;5;231.52
20201002;6;231.10
20201002;7;288.99
20201002;8;289.25
20201002;9;287.35
20201002;10;298.62
20201002;11;296.00
20201002;12;299.85
20201002;13;289.25
20201002;14;290.33
20201002;15;288.69
20201002;16;289.22
20201002;17;289.97
20201002;18;290.62
20201002;19;298.27
20201002;20;295.19
20201002;21;298.38
20201002;22;231.37
20201002;23;266.14
20201002;24;227.99
20201003;1;189.17
20201003;2;188.33
20201003;3;187.29
20201003;4;186.86
20201003;5;186.28
20201003;6;185.39
20201003;7;183.09
20201003;8;189.42
20201003;9;194.90
20201003;10;198.94
20201003;11;199.06
20201003;12;198.79
20201003;13;196.87
20201003;14;194.69
20201003;15;189.58
20201003;16;189.62
20201003;17;190.72
20201003;18;196.64
20201003;19;200.34
20201003;20;210.78
20201003;21;199.53
20201003;22;195.39
20201003;23;189.69
20201003;24;181.91
20201004;1;154.31
20201004;2;142.13
20201004;3;126.36
20201004;4;120.93
20201004;5;120.95
20201004;6;124.17
20201004;7;130.66
20201004;8;147.11
20201004;9;180.24
20201004;10;188.34
20201004;11;188.57
20201004;12;189.20
20201004;13;187.63
20201004;14;187.58
20201004;15;187.58
20201004;16;187.77
20201004;17;187.78
20201004;18;192.17
20201004;19;218.00
20201004;20;268.22
20201004;21;236.96
20201004;22;199.21
20201004;23;195.29
20201004;24;188.75
20201005;1;208.21
20201005;2;199.13
20201005;3;197.10
20201005;4;197.04
20201005;5;198.88
20201005;6;216.78
20201005;7;282.09
20201005;8;255.58
20201005;9;260.89
20201005;10;280.40
20201005;11;279.00
20201005;12;288.44
20201005;13;287.59
20201005;14;280.65
20201005;15;276.42
20201005;16;286.88
20201005;17;291.08
20201005;18;285.50
20201005;19;292.68
20201005;20;323.15
20201005;21;289.91
20201005;22;225.75
20201005;23;227.37
20201005;24;205.78
20201006;1;203.59
20201006;2;201.59
20201006;3;195.93
20201006;4;195.99
20201006;5;200.70
20201006;6;206.70
20201006;7;250.30
20201006;8;230.31
20201006;9;250.80
20201006;10;251.93
20201006;11;232.75
20201006;12;236.43
20201006;13;232.72
20201006;14;225.85
20201006;15;225.28
20201006;16;228.52
20201006;17;234.90
20201006;18;235.76
20201006;19;274.40
20201006;20;299.71
20201006;21;283.23
20201006;22;224.31
20201006;23;235.36
20201006;24;201.93
20201007;1;209.73
20201007;2;204.07
20201007;3;198.26
20201007;4;201.20
20201007;5;202.96
20201007;6;218.84
20201007;7;285.14
20201007;8;292.26
20201007;9;337.17
20201007;10;338.04
20201007;11;334.51
20201007;12;338.11
20201007;13;338.08
20201007;14;338.04
20201007;15;335.45
20201007;16;337.63
20201007;17;335.40
20201007;18;338.08
20201007;19;350.26
20201007;20;387.49
20201007;21;304.24
20201007;22;231.63
20201007;23;236.23
20201007;24;210.11
20201008;1;234.76
20201008;2;225.18
20201008;3;216.90
20201008;4;216.96
20201008;5;224.87
20201008;6;226.50
20201008;7;281.00
20201008;8;247.17
20201008;9;280.91
20201008;10;289.86
20201008;11;274.87
20201008;12;288.25
20201008;13;288.39
20201008;14;279.04
20201008;15;276.71
20201008;16;290.58
20201008;17;290.67
20201008;18;273.46
20201008;19;292.75
20201008;20;295.00
20201008;21;258.72
20201008;22;226.95
20201008;23;237.77
20201008;24;213.45
20201009;1;189.90
20201009;2;185.29
20201009;3;182.60
20201009;4;183.15
20201009;5;188.07
20201009;6;198.45
20201009;7;243.11
20201009;8;233.13
20201009;9;258.48
20201009;10;246.07
20201009;11;236.16
20201009;12;235.70
20201009;13;259.36
20201009;14;289.65
20201009;15;277.66
20201009;16;291.06
20201009;17;297.46
20201009;18;299.76
20201009;19;323.88
20201009;20;315.21
20201009;21;300.61
20201009;22;230.80
20201009;23;249.63
20201009;24;214.00
20201010;1;203.64
20201010;2;200.05
20201010;3;199.98
20201010;4;198.95
20201010;5;198.79
20201010;6;198.80
20201010;7;199.76
20201010;8;209.98
20201010;9;240.55
20201010;10;255.34
20201010;11;262.21
20201010;12;261.55
20201010;13;244.77
20201010;14;240.51
20201010;15;234.01
20201010;16;233.23
20201010;17;237.95
20201010;18;241.92
20201010;19;277.06
20201010;20;286.47
20201010;21;276.33
20201010;22;236.77
20201010;23;212.85
20201010;24;200.71
20201011;1;197.82
20201011;2;198.12
20201011;3;194.81
20201011;4;194.41
20201011;5;194.43
20201011;6;198.20
20201011;7;191.25
20201011;8;188.03
20201011;9;198.24
20201011;10;211.00
20201011;11;224.63
20201011;12;222.10
20201011;13;222.70
20201011;14;219.92
20201011;15;212.38
20201011;16;207.63
20201011;17;209.83
20201011;18;223.64
20201011;19;251.23
20201011;20;272.82
20201011;21;260.96
20201011;22;240.33
20201011;23;213.16
20201011;24;190.84
20201012;1;191.10
20201012;2;185.68
20201012;3;185.42
20201012;4;185.51
20201012;5;186.16
20201012;6;193.72
20201012;7;245.43
20201012;8;272.39
20201012;9;304.51
20201012;10;283.86
20201012;11;256.05
20201012;12;254.23
20201012;13;271.87
20201012;14;275.02
20201012;15;239.97
20201012;16;268.37
20201012;17;243.34
20201012;18;268.19
20201012;19;319.06
20201012;20;393.25
20201012;21;303.79
20201012;22;240.74
20201012;23;239.63
20201012;24;200.09
20201013;1;208.86
20201013;2;210.28
20201013;3;210.97
20201013;4;210.86
20201013;5;208.72
20201013;6;213.84
20201013;7;272.49
20201013;8;300.65
20201013;9;323.76
20201013;10;317.76
20201013;11;299.28
20201013;12;293.21
20201013;13;286.23
20201013;14;268.12
20201013;15;242.85
20201013;16;228.59
20201013;17;231.26
20201013;18;245.29
20201013;19;278.12
20201013;20;288.15
20201013;21;228.94
20201013;22;208.60
20201013;23;219.98
20201013;24;187.87
20201014;1;171.58
20201014;2;153.37
20201014;3;133.69
20201014;4;141.93
20201014;5;154.00
20201014;6;181.61
20201014;7;207.56
20201014;8;205.10
20201014;9;211.32
20201014;10;212.31
20201014;11;212.15
20201014;12;215.25
20201014;13;217.02
20201014;14;218.00
20201014;15;216.57
20201014;16;216.83
20201014;17;217.71
20201014;18;223.54
20201014;19;238.50
20201014;20;280.17
20201014;21;234.68
20201014;22;216.31
20201014;23;226.65
20201014;24;191.56
20201015;1;183.76
20201015;2;183.77
20201015;3;182.76
20201015;4;183.75
20201015;5;180.13
20201015;6;184.67
20201015;7;246.23
20201015;8;235.36
20201015;9;290.26
20201015;10;299.79
20201015;11;299.36
20201015;12;302.21
20201015;13;303.71
20201015;14;302.70
20201015;15;296.52
20201015;16;291.08
20201015;17;290.51
20201015;18;291.92
20201015;19;309.09
20201015;20;307.65
20201015;21;295.80
20201015;22;227.48
20201015;23;254.70
20201015;24;223.73
20201016;1;194.98
20201016;2;195.10
20201016;3;195.07
20201016;4;195.01
20201016;5;193.59
20201016;6;205.30
20201016;7;282.58
20201016;8;303.06
20201016;9;314.75
20201016;10;315.07
20201016;11;315.07
20201016;12;319.23
20201016;13;315.41
20201016;14;316.33
20201016;15;316.96
20201016;16;313.33
20201016;17;311.47
20201016;18;315.08
20201016;19;314.84
20201016;20;313.83
20201016;21;302.41
20201016;22;227.20
20201016;23;260.52
20201016;24;222.27
20201017;1;193.23
20201017;2;189.60
20201017;3;190.39
20201017;4;190.35
20201017;5;190.23
20201017;6;188.11
20201017;7;208.51
20201017;8;234.17
20201017;9;268.44
20201017;10;277.81
20201017;11;278.15
20201017;12;280.58
20201017;13;277.65
20201017;14;276.36
20201017;15;274.85
20201017;16;269.89
20201017;17;273.69
20201017;18;273.98
20201017;19;284.44
20201017;20;283.44
20201017;21;279.76
20201017;22;237.14
20201017;23;206.22
20201017;24;190.00
20201018;1;191.40
20201018;2;189.09
20201018;3;183.76
20201018;4;172.62
20201018;5;166.35
20201018;6;155.76
20201018;7;142.43
20201018;8;149.80
20201018;9;166.61
20201018;10;178.69
20201018;11;190.28
20201018;12;193.62
20201018;13;194.36
20201018;14;193.99
20201018;15;189.80
20201018;16;188.12
20201018;17;194.90
20201018;18;198.05
20201018;19;232.99
20201018;20;236.27
20201018;21;221.07
20201018;22;192.71
20201018;23;191.07
20201018;24;190.72
20201019;1;184.21
20201019;2;182.08
20201019;3;178.67
20201019;4;180.13
20201019;5;184.31
20201019;6;192.44
20201019;7;264.93
20201019;8;259.65
20201019;9;303.48
20201019;10;306.02
20201019;11;285.50
20201019;12;293.20
20201019;13;293.75
20201019;14;269.59
20201019;15;265.63
20201019;16;267.26
20201019;17;271.97
20201019;18;299.39
20201019;19;346.78
20201019;20;347.65
20201019;21;311.99
20201019;22;242.93
20201019;23;249.05
20201019;24;223.53
20201020;1;212.75
20201020;2;212.81
20201020;3;210.87
20201020;4;208.86
20201020;5;207.94
20201020;6;218.53
20201020;7;280.53
20201020;8;285.86
20201020;9;313.30
20201020;10;314.99
20201020;11;312.55
20201020;12;314.82
20201020;13;304.37
20201020;14;295.72
20201020;15;277.76
20201020;16;271.17
20201020;17;258.39
20201020;18;254.99
20201020;19;289.95
20201020;20;289.95
20201020;21;248.57
20201020;22;220.82
20201020;23;237.90
20201020;24;225.39
20201021;1;194.62
20201021;2;191.54
20201021;3;188.80
20201021;4;189.47
20201021;5;191.69
20201021;6;194.61
20201021;7;250.58
20201021;8;232.45
20201021;9;257.34
20201021;10;275.13
20201021;11;264.48
20201021;12;272.46
20201021;13;274.75
20201021;14;269.54
20201021;15;258.88
20201021;16;252.41
20201021;17;243.19
20201021;18;244.73
20201021;19;267.92
20201021;20;259.01
20201021;21;223.94
20201021;22;211.72
20201021;23;224.88
20201021;24;208.93
20201022;1;188.20
20201022;2;179.67
20201022;3;168.03
20201022;4;165.68
20201022;5;177.79
